TYPE=HEADER
|RECORD TYPE| |X(1)| 1,1 = 0.|
|INTEREST_RATE|INTR|S9(2)v9(6)|146,9|This can be formatted as required with an explicit decimal point thus allowing any number of numbers before and after the decimal. If no explicit decimal point is provided then 3 characters before and 6 characters after an implied decimal point are assumed. Please note, however, that the maximum number of decimal places held will be 6, and any rate will thus be truncated at 6 places if more than this are entered after the decimal point. Please also see the Decimal Places notes within the Detail section. See note 3. The population of the Interest Rate field affects whether the index rate fields on the Other Information screen in Global One will be used, and hence whether the trade will be an index rate or non-index rate trade. For more details, see the description for ADF7 in Note 2: Additional (Other) Field Record Type. In version 6.5 a Default Data code was added which can be used to default the Rate if this field is left blank.|
|SECURITY_SETTLEMENT_DUE_DATE|SSDD|9(8)|155,8|CCYYMMDD. Validated that it is not a holiday or prior to the trade date.|
|SECURITY_SETTLEMENT_MODE|SSMO|X(6)|163,6|Validated against Mode file.|
|CASH_SETTLEMENT_DUE_DATE|CSDD|9(8)|169,8|CCYYMMDD. Required on trades if versus Cash Collateral and not DVP. In version 5.4 can also be populated for a non-cash trade to be used for pre-payment limits. Validated that it is not a holiday or prior to the trade date.|
|CASH_SETTLEMENT_MODE|CSMO|X(6)|177,6|Validated against Mode file.|
|DVP|DVPP|X(1)|183,1|Y/N. If defaulted then uses the Counterparty Parameters, or the System Parameter if those are blank.|
|TRADE_DATE|TDDT|9(8)|184,8|CCYYMMDD.|
|TERM_DATE|TMDT|9(8)|192,8|CCYYMMDD.|
|NET_DIVIDEND_PERCENTAGE|DIVP|9(3)v9(2)|200,5|Between zero and 99999. Set to 100 if not present and the Dividends From Funds Parameter is set to ‘Y’ for a fund level trade. Otherwise defaulted from the counterparty as it is within trade input. Will be overridden by the Extended Net Dividend %age if present.|
|OVERSEAS_TAX_PERCENTAGE|OVRP|9(3)v9(2)|205,5|Between zero and 99999. Set to zero if not present and the Dividends From Funds Parameter is set to ‘Y’ for a fund level trade. Otherwise defaulted from the counterparty as it is within trade input. Will be overridden by the Extended Overseas Tax %age if present.|
|DOMESTIC_TAX_PERCENTAGE|DOMP|9(3)v9(2)|210,5|Between zero and 99999. Set to zero if not present and the Dividends From Funds Parameter is set to ‘Y’ for a fund level trade. Otherwise defaulted from the counterparty as it is within trade input. Will be overridden by the Extended Domestic Tax %age if present.|
|INTEREST_TYPE|INTT|X(2)|215,2|A, B, BF, BL, BS, F, FS, L and LS. Version 5.8 added type of A.|
|INTERNAL_COMMENTS|INCM|X(20)|217,20|First line only.|
|EXTERNAL_COMMENTS|EXCM|X(50)|237,50|First line only. With version 5.2: For the creation of missing securities the first 49 characters of this field should be populated with the security description, and the 49  character should be the class type. A value of ‘E’ should be used for security class COM for common equity and ‘B’ should be used for security class BND for Bond.|
|TRADE_CATEGORY|TDCA|X(3)|287,3||
|LINK_REFERENCE|LKRF|X(8)|290,8||
|OWN_CONTRACT_REFERENCE|OWRF|X(16)|298,16|Mandatory for a new trade where the Mandatory Own Contract Reference is set to ‘Y’. Can be provided for all other record types. Please see notes at the beginning of the layout.|
|GLOBAL_ONE_TRADE_REFERENCE|GORF|X(12)|314,12|Mandatory only if the Own Contract Reference is blank for all status types except for a new trade. Version 4.8 allowed the passing of a Trade Reference for a new trade or collateral item.|
|MINIMUM_FEE|MNFE|9(12)v9(2)|326,14|Override to Counterparty default for this trade. See also positions 3572 to 3584 for Minimum Fee Override fields.|
|MINIMUM_FEE_CURRENCY|MNCU|X(3)|340,3|Override to Counterparty default for this trade.|
|FINDER/LOC_BANK_CODE|FIBC|X(6)|343,6|Mandatory for Collateral LOC Deliver.|
|FINDER/LOC_BANK_FEE|FIBF|9(3)v9(6)|349,9||
|EUROCLEAR_SHARES_TYPE|EUST|X(3)|358,3||
|EUROCLEAR_REFERENCE|EURF|X(16)|361,16||
|EUROCLEAR_PRICE|EUPR|9(10)v9(4)|377,14||
|EUROCLEAR_PRIORITY|EUPI|9(1)|391,1||
|EUROCLEAR_COMMENTS|EUCM|X(35)|392,35||
|OWN_SWIFT_BIC_CODE|OWSW|X(20)|427,20|Own Counterparty details.|
|CASH_CLEARER_CODE|CCLR|X(10)|447,10|Own Counterparty details for PL, PR, XPL and XPR only.|
|CASH_CLEAR_SWIFT_BIC|CCSW|X(25)|457,25||
|CASH_CLEARER_ACCOUNT_NUMBER|CCAC|X(25)|482,25||
|CASH_CLEARER_SUB-ACCOUNT|CCSA|X(25)|507,25||
|CASH_CLEARER_ACCOUNT_REFERENCE|CCRF|X(50)|532,50||
|CASH_CLEARER_CONTACT|CCCO|X(30)|582,30||
|CASH_CLEARER_NAME|CCNM|X(50)|612,50||
|SECURITY_CLEARER_CODE|SCLR|X(10)|662,10||
|SECURITY_CLEARER_SWIFT_BIC|SCSW|X(25)|672,25|
|SECURITY_CLEARER_ACCOUNT_NUMBER|SCAC|X(25)|697,25||
|SECURITY_CLEARER_SUB-ACCOUNT|SCSA|X(25)|722,25||
|SECURITY_CLEARER_ACCOUNT_REFERENCE|SCRF|X(50)|747,50||
|SECURITY_CLEARER_CONTACT|SCCO|X(30)|797,30||
|SECURITY_CLEARER_NAME|SCNM|X(50)|827,50||
|CL_CASH_CLEARER_CODE|CLLR|X(10)|877,10|Counterparty details for PL, PR, XPL and XPR only.|
|CL_CASH_CLEARER_SWIFT_BIC|CLSW|X(25)|887,25||
|CL_CASH_CLEARER_ACCOUNT_NUMBER|CLAC|X(25)|912,25||
|CL_CASH_CLEARER_SUB-ACCOUNT|CLSA|X(25)|937,25||
|CL_CASH_CLEARER_ACCOUNT_REFERENCE|CLRF|X(50)|962,50||
|CL_CASH_CLEARER_CONTACT|CLCO|X(30)|1012,30||
|CL_CASH_CLEARER_NAME|CLNM|X(50)|1042,50||
|CL_SECURITY_CLEARER_CODE|CSLR|X(10)|1092,10||
|CL_SECURITY_CLEARER_SWIFT_BIC|CSSW|X(25)|1102,25||
|CL_SECURITY_CLEARER_ACCOUNT_NUMBER|CSAC|X(25)|1127,25||
|CL_SECURITY_CLEARER_SUBACCOUNT|CSSA|X(25)|1152,25||
|CL_SECURITY_CLEARER_ACCOUNT_REFERENCE|CSRF|X(50)|1177,50||
|CL_SECURITY_CLEARER_CONTACT|CSCO|X(30)|1227,30||
|CL_SECURITY_CLEARER_NAME|CSNM|X(50)|1257,50||
|RECALLED_INDICATOR|RCAL|X(1)|1307,1|Y/N. Returns only. Assumed to be ‘N’ if not set to ‘Y’.|
|FUND_CODE|FUND|X(6)|1308,6|Please see notes at the start of the layout.|
|FUND_CROSS-REFERENCE|FXRF|X(10)|1314,10||
|FUND_LOCATION|FLOC|X(3)|1324,3||
|FUND_LOCATION_CROSSREFERENCE|FLXF|X(10)|1327,10||
|AUTO-SETTLEMENT|ASET|X(1)|1337,1|Y/N/A. If same day settlement, will settle automatically on update if Y present. N-Do not auto settle, Y-Auto Settle, but on an invalid date the trade still posted and warning given. If the flag is blank then any system parameters held for auto settlement will be checked. If the criteria is met then the trade or return will be auto settled. Version 4.3 added: A-Attempt to Auto settle but reject trade if cannot auto settle.|
|NON-CASH_COLLATERAL_HAIRCUT|NCCH|9(3)v9(2)|1338,5|Override to default haircut percentages, used for new collateral items only.|
|CASH_POOL_VALUE|POOL|S9(11)v9(2)|1343,14|The value of the cash pool settlement for cash pool trades and returns only. See note 3.|
|PRE-PAY_RATE|PRPY|S9(2)v9(6)|1357,9|In version 6.2 this was enabled to allow a pre-pay rate to be set on a trade to be used as a default in Settlement Input. This can be formatted as required with an explicit decimal point thus allowing any number of numbers before and after the decimal. If no explicit decimal point is provided then 3 characters before and 6 characters after an implied decimal point are assumed. Please note, however, that the maximum number of decimal places held will be 6, and any rate will thus be truncated at 6 places if more than this are entered after the decimal point. Please also see the Decimal Places notes within the Detail section. See note 3.|
|COST_CENTRE_1_CODE|C01C|X(3)|1366,3|Please see notes at the beginning of the layout.|
|COST_CENTRE_1_QUANTITY|C01Q|S9(11)|1369,12|See note 3.|
|COST_CENTRE_1_VALUE|C01V|S9(11)v9(2)|1381,14|See note 3.|
|COST_CENTRE_2_CODE|C02C|X(3)|1395,3||
|COST_CENTRE_2_QUANTITY|C02Q|S9(11)|1398,12|See note 3.|
|COST_CENTRE_2_VALUE|C02V|S9(11)v9(2)|1410,14|See note 3.|
|COST_CENTRE_3_CODE|C03C|X(3)|1424,3||
|COST_CENTRE_3_QUANTITY|C03Q|S9(11)|1427,12|See note 3.|
|COST_CENTRE_3_VALUE|C03V|S9(11)|v9(2)|1439,14|See note 3.|
|COST_CENTRE_4_CODE|C04C|X(3)|1453,3||
|COST_CENTRE_4_QUANTITY|C04Q|S9(11)|1456,12|See note 3.|
|COST_CENTRE_4_VALUE|C04V|S9(11)v9(2)|1468,14|See note 3.|
|COST_CENTRE_5_CODE|C05C|X(3)|1482,3||
|COST_CENTRE_5_QUANTITY|C05Q|S9(11)|1485,12|See note 3.|
|COST_CENTRE_5_VALUE|C05V|S9(11)v9(2)|1497,14|See note 3.|
|COST_CENTRE_6_CODE|C06C|X(3)|1511,3||
|COST_CENTRE_6_QUANTITY|C06Q|S9(11)|1514,12|See note 3.|
|COST_CENTRE_6_VALUE|C06V|S9(11)v9(2)|1526,14|See note 3.|
|COST_CENTRE_7_CODE|C07C|X(3)|1540,3||
|COST_CENTRE_7_QUANTITY|C07Q|S9(11)|1543,12|See note 3.|
|COST_CENTRE_7_VALUE|C07V|S9(11)v9(2)|1555,14|See note 3.|
|COST_CENTRE_8_CODE|C08C|X(3)|1569,3||
|COST_CENTRE_8_QUANTITY|C08Q|S9(11)|1572,12|See note 3.|
|COST_CENTRE_8_VALUE|C08V|S9(11)v9(2)|1584,14|See note 3.|
|COST_CENTRE_9_CODE|C09C|X(3)|1598,3||
|COST_CENTRE_9_QUANTITY|C09Q|S9(11)|1601,12|See note 3.|
|COST_CENTRE_9_VALUE|C09V|S9(11)v9(2)|1613,14|See note 3.|
|COST_CENTRE_10_CODE|C10C|X(3)|1627,3||
|COST_CENTRE_10_QUANTITY|C10Q|S9(11)|1630,12|See note 3.|
|COST_CENTRE_10_VALUE|C10V|S9(11)v9(2)|1642,14|See note 3.|
|MARK_TRADE_INDICATOR|MARK|X(1)|1656,1| In version 6.2 the indicator was extended for cash pool trades: For Cash and Non-Cash trades: ’Y' = Trade is markable. 'N' = Trade is nonmarkable.  For Cash Pool trades: 'B' = Trade is markable for both Fee marks (Trade activities) and Collateral marks (Bulk Cash Pool activities). 'C' = Trade is markable for collateral marks only (Bulk Cash Pool activities).  'F' = Trade is markable for Fee marks only (Trade activities). 'N' = Trade is non-markable. In cases where a value of ‘Y’ is provided for Cash Pool trades, this is converted to the default Mark Trade Indicator held on the counterparty, or to the value on the Cash Pool Mark Trade Default system parameter if the counterparty field is not populated. |
|DEALER_IDENTIFIER|DEAL|X(8)|1657,8||
|MATCHED_INVESTMENT|MTCH|X(1)|1665,1|Y/N. For Lenders Module with Cash Management.|
|TRADE_TIME|TDTM|X(5)|1666,5|Format of HH:MM.|
|INTERNAL_COMMENTS_SECOND_LINE|INC2|X(20)|1671,20||
|EXTERNAL_COMMENTS_SECOND_LINE|EXC2|X(50)|1691,50||
|EXTENDED_QUANTITY|EQTY|S9(11)v9(2)|1741,14|2 implied decimals. See note 3.|
|EXTENDED_LOAN_PRICE|ELPR|S9(9)v9(7)|1755,17|7 implied decimals. See note 3.|
|COST_CENTRE_1_EXTENDED_QUANTITY|C01X|S9(11)v9(2)|1772,14|See note 3.|
|COST_CENTRE_2_EXTENDED_QUANTITY_C02X||S9(11)v9(2)|1786,14|See note 3. |
|COST_CENTRE_3_EXTENDED_QUANTITY_C03X||S9(11)v9(2)|1800,14|See note 3. |
|COST_CENTRE_4_EXTENDED_QUANTITY_C04X||S9(11)v9(2)|1814,14|See note 3. |
|COST_CENTRE_5_EXTENDED_QUANTITY_C05X||S9(11)v9(2)|1828,14|See note 3. |
|COST_CENTRE_6_EXTENDED_QUANTITY_C06X||S9(11)v9(2)|1842,14|See note 3. |
|COST_CENTRE_7_EXTENDED_QUANTITY_C07X||S9(11)v9(2)|1856,14|See note 3. |
|COST_CENTRE_8_EXTENDED_QUANTITY_C08X||S9(11)v9(2)|1870,14|See note 3. |
|COST_CENTRE_9_EXTENDED_QUANTITY_C09X||S9(11)v9(2)|1884,14|See note 3. |
|COST_CENTRE_10_EXTENDED_QUANTITY_C10X||S9(11)v9(2)|1898,14|See note 3. |
|RETURN_UPDATE_FLAG_RTUD||X(1)|1912,1|‘C’, ‘U’ or space. This flag is used to determine how a return record is treated. If this is a space then the return fields will be defaulted from the original trade details. If ‘C’ then all the fields in the Trade Upload file will be used for the return, whether they are populated or not. If ‘U’ then only the fields that are populated in the Trade Upload record will be utilised for the return and all other data will be defaulted from the original trade. |
|COMPARE_DIVIDEND_TRACKING_CDVT||X(1)|1913,1|Y/N. Used for Loanet Contract Compare details on US Domestic Trades. Defaulted from the Counterparty Database if not present for a new trade. |
|COMPARE_MARK_ELIGIBLE_CMKE||X(1)|1914,1|Y/N. Used for Loanet Contract Compare details on US Domestic Trades. Defaulted from the Counterparty Database if not present for a new trade. |
|LENDER_MODULE_TRADE_LDTD||X(1)|1915,1|This indicator specifies how a new trade with funds, a fund re-allocation or a return with funds record is to be processed: 1–Automatic Allocation, 2-Manual Allocation With Validation or 3-Manual Allocation No Validation. This should be left blank for a non-fund trade, if set to 1 then any fund level details supplied in the file will be ignored. Please note that the option of 1 for Auto Allocation is not applicable to Lender Holds. If set to 2 or 3 the record will be rejected if the fund details are not supplied. If null, the trade is created without funds. Cannot be null for a fund re-allocation, either 2 or 3 should be present. |
|FUND_CODE_1_FU01||X(6)|1916,6|Please see notes at the beginning of the layout. |
|FUND_CROSS_REFERENCE_1_FX01||X(10)|1922,10| |
|FUND_LOCATION_1_FL01||X(3)|1932,3| |
|FUND_LOCATION_CROSS_REFERENCE_1_FC01||X(10)|1935,10| |
|FUND_1_QUANTITY_FQ01||S9(11)v9(2)|1945,14|See note 3. |
|FUND_1_VALUE_FV01||S9(11)v9(2)|1959,14|See note 3. |
|FUND_CODE_2_FU02||X(6)|1973,6| |
|FUND_CROSS_REFERENCE_2_FX02||X(10)|1979,10| |
|FUND_LOCATION_2_FL02||X(3)|1989,3| |
|FUND_LOCATION_CROSS_REFERENCE_2_FC02||X(10)|1992,10| |
|FUND_2_QUANTITY_FQ02||S9(11)v9(2)|2002,14|See note 3. |
|FUND_2_VALUE_FV02||S9(11)v9(2)|2016,14|See note 3. |
|FUND_CODE_3_FU03||X(6)|2030,6| |
|FUND_CROSS_REFERENCE_3_FX03||X(10)|2036,10| |
|FUND_LOCATION_3_FL03||X(3)|2046,3| |
|FUND_LOCATION_CROSS_REFERENCE_3_FC03||X(10)|2049,10| |
|FUND_3_QUANTITY_FQ03||S9(11)v9(2)|2059,14|See note 3. |
|FUND_3_VALUE_FV03||S9(11)v9(2)|2073,14|See note 3. |
|FUND_CODE_4_FU04||X(6)|2087,6| |
|FUND_CROSS_REFERENCE_4_FX04||X(10)|2093,10| |
|FUND_LOCATION_4_FL04||X(3)|2103,3| |
|FUND_LOCATION_CROSS_REFERENCE_4_FC04||X(10)|2106,10| |
|FUND_4_QUANTITY_FQ04||S9(11)v9(2)|2116,14|See note 3. |
|FUND_4_VALUE_FV04||S9(11)v9(2)|2130,14|See note 3. |
|FUND_CODE_5_FU05||X(6)|2144,6| |
|FUND_CROSS_REFERENCE_5_FX05||X(10)|2150,10| |
|FUND_LOCATION_5_FL05||X(3)|2160,3| |
|FUND_LOCATION_CROSS_REFERENCE_5_FC05||X(10)|2163,10| |
|FUND_5_QUANTITY_FQ05||S9(11)v9(2)|2173,14|See note 3. |
|FUND_5_VALUE_FV05||S9(11)v9(2)|2187,14|See note 3. |
|FUND_CODE_6_FU06||X(6)|2201,6| |
|FUND_CROSS_REFERENCE_6_FX06||X(10)|2207,10| |
|FUND_LOCATION_6_FL06||X(3)|2217,3| |
|FUND_LOCATION_CROSS_REFERENCE_6_FC06||X(10)|2220,10| |
|FUND_6_QUANTITY_FQ06||S9(11)v9(2)|2230,14|See note 3. |
|FUND_6_VALUE_FV06||S9(11)v9(2)|2244,14|See note 3. |
|FUND_CODE_7_FU07||X(6)|2258,6| |
|FUND_CROSS_REFERENCE_7_FX07||X(10)|2264,10| |
|FUND_LOCATION_7_FL07||X(3)|2274,3| |
|FUND_LOCATION_CROSS_REFERENCE_7_FC07||X(10)|2277,10| |
|FUND_7_QUANTITY_FQ07||S9(11)v9(2)|2287,14|See note 3. |
|FUND_7_VALUE_FV07||S9(11)v9(2)|2301,14|See note 3. |
|FUND_CODE_8_FU08||X(6)|2315,6| |
|FUND_CROSS_REFERENCE_8_FX08||X(10)|2321,10| |
|FUND_LOCATION_8_FL08||X(3)|2331,3| |
|FUND_LOCATION_CROSS_REFERENCE_8_FC08||X(10)|2334,10| |
|FUND_8_QUANTITY_FQ08||S9(11)v9(2)|2344,14|See note 3. |
|FUND_8_VALUE_FV08||S9(11)v9(2)|2358,14|See note 3. |
|FUND_CODE_9_FU09||X(6)|2372,6| |
|FUND_CROSS_REFERENCE_9_FX09||X(10)|2378,10| |
|FUND_LOCATION_9_FL09||X(3)|2388,3| |
|FUND_LOCATION_CROSS_REFERENCE_9_FC09||X(10)|2391,10| |
|FUND_9_QUANTITY_FQ09||S9(11)v9(2)|2401,14|See note 3. |
|FUND_9_VALUE_FV09||S9(11)v9(2)|2415,14|See note 3. |
|FUND_CODE_10_FU10||X(6)|2429,6| |
|FUND_CROSS_REFERENCE_10_FX10||X(10)|2435,10| |
|FUND_LOCATION_10_FL10||X(3)|2445,3| |
|FUND_LOCATION_CROSS_REFERENCE_10_FC10||X(10)|2448,10| |
|FUND_10_QUANTITY_FQ10||S9(11)v9(2)|2458,14|See note 3. |
|FUND_10_VALUE_FV10||S9(11)v9(2)|2472,14|See note 3. |
|FUND_COST_CENTRE_REALLOCATION_DATE_FADT||9(8)|2486,8|The effective date of the fund/cost centre re-allocation. |
|INTEREST_RATE_SIGN_INTS||X(1)|2494,1|Can be used in conjunction with the standard format for the Interest Rate field where the rate is 4 figures including a minus sign. Blank or '-' are valid. |
|AGENCY_REFERENCE_AGRF||X(16)|2495,16|Used for new trades and returns. Can contain Deliver Via Code for trades to be passed to Loanet through GOLIM. An activity narrative that is User Defined and is passed back to the source within the Trade Upload Confirmation file. |
|TRANSACTION_NARRATIVE_NARR||X(20)|2511,20|A narrative supplied by the user for this transaction and passed back to the source within the Trade Upload Confirmation file. |
|AUTO_AUTHORISED_AUTH||X(1)|2531,1|Y/N. Allows trade or return to be authorised. If blank, ‘N’ is assumed. Trades or returns that require authorisation will need to have this flag set to ‘Y’ if the Security Bulking fields are also populated. It is also necessary to set as auto authorise (or auto settle) trades or returns if the Suppress Confirm/Instructions flag in 3561,1 is not set to null.  Note that this field is not used for intercompany trades and returns since these cannot be auto authorised. |
|SECURITY_BULKING_SCBK||X(1)|2532,1|Y/N. Allows a number of records within the file to be accumulated together for the bulking of security settlements. If blank, ‘N’ is assumed. |
|BULKING_REFERENCE_BKRF||X(2)|2533,2|User defined bulking reference to denote which trades and returns within the file can be bulked together. If blank, and ‘Y’ passed for Security Bulking, then the routine will attempt to automatically bulk by security. Trades and returns that need to be authorised prior to being bulked, will need to have the Authorised flag set to ‘Y’. |
|COLLATERAL_GROUPING_CODE_CLGP||X(3)|2535,3|Lenders Module only. Used in calculation of availability for non-cash trades and returns, where the ‘Request Collateral Grouping’, <F8>More, <F5>-Add’l Info, System Parameter is set for a Collateral Grouping Code to be required. |
|CASH_WASH_CURRENCY_WSCU||X(3)|2538,3|Cash Wash currency code, present for non-cash or collateral items if the item is against a cash wash. |
|CASH_WASH_VALUE_WSVL||S9(11)v9(2)|2541,14|Cash Wash value, present for noncash or collateral items if the item is against a cash wash. See note 3. |
|NO_OF_FUND_COST_CENTRE_ADDITIONAL_RECORDS_NORE||9(5)|2555,5|The number of fund (type 2) or cost centre (type 3) records to follow. Zero if not applicable. There is no maximum number of records. |
|NO_OF_USER_DEFINED_FIELD_ADDITIONAL_RECORDS_NOUS||9(5)|2560,5|The number of User Defined field (type 4) records to follow. Zero if not applicable. The current maximum for these fields is 50. |
|NON_DOLLAR_REPO_TRADE_NDRT||X(1)|2565,1|If this new trade is a Non-Dollar Repo Trade this field should be set to 1 for Repo Trade or the Cash part of a Multi-Collateral Repo and 2 for the Security items on a Multi-Collateral Repo. |
|COUPON_INTEREST_SCPI||9(12)v9(2)|2566,14|Total Coupon Accrual at Start for Buy/Sell trades only. |
|END_COUPON_INTEREST_ECPI||9(12)v9(2)|2580,14|Total Coupon Accrual at Term for Buy/Sell trades only. |
|INVESTMENT_RATE_IVRT||9(3)v9(6)|2594,9|Re-investment rate for Buy/Sell only. |
|ACCRUAL_VALUE_ACVL||9(12)v9(2)|2603,14|Accrual interest value. |
|MONTHLY_BILLED_MNBL||X(1)|2617,1|Y/N. Monthly Billed indicator for Repo Accruals Report. |
|CLEAN_PRICE_CLPR||9(9)v9(6)|2618,15|Price for trade without accrued interest. |
|RETURN_CASH_CLEARER_CODE_RCCC||X(10)|2633,10|Own Counterparty Clearer details for Cash on the Return leg of a Term Repo. |
|RETURN_CASH_CLEAR_SWIFT_BIC_RCSB||X(25)|2643,25| |
|RETURN_CASH_CLEARER_ACCOUNT_NUMBER_RCAN||X(25)|2668,25| |
|RETURN_CASH_CLEARER_SUBACCOUNT_RCSA||X(25)|2693,25| |
|RETURN_CASH_CLEARER_ACCOUNT_REFERENCE_RCAR||X(50)|2718,50| |
|RETURN_CASH_CLEARER_CONTACT_RCCO||X(30)|2768,30| |
|RETURN_CASH_CLEARER_NAME_RCCN||X(50)|2798,50| |
|RETURN_SECURITY_CLEARER_CODE_RSCC||X(10)|2848,10|Own Counterparty Clearer details for Security on the Return of a Term Repo. |
|RETURN_SECURITY_CLEARER_SWIFT_BIC_RSSB||X(25)|2858,25| |
|RETURN_SECURITY_CLEARER_ACCOUNT_NUMBER_RSAN||X(25)|2883,25| |
|RETURN_SECURITY_CLEARER_SUBACCOUNT_RSSA||X(25)|2908,25| |
|RETURN_SECURITY_CLEARER_ACCOUNT_REFERENCE_RSAR||X(50)|2933,50| |
|RETURN_SECURITY_CLEARER_CONTACT_RSCO||X(30)|2983,30| |
|RETURN_SECURITY_CLEARER_NAME_RSCN||X(50)|3013,50| |
|CL_RETURN_CASH_CLEARER_CODE_CRCC||X(10)|3063,10|Counterparty Clearer details for Cash on the Return leg of a Term Repo. |
|CL_RETURN_CASH_CLEARER_SWIFT_BIC_CRCB||X(25)|3073,25| |
|CL_RETURN_CASH_CLEARER_ACCOUNT_NUMBER_CRCA||X(25)|3098,25| |
|CL_RETURN_CASH_CLEARER_SUBACCOUNT_CRCS||X(25)|3123,25| |
|CL_RETURN_CASH_CLEARER_ACCOUNT_REFERENCE_CRCR||X(50)|3148,50| |
|CL_RETURN_CASH_CLEARER_CONTACT_CRCO||X(30)|3198,30| |
|CL_RETURN_CASH_CLEARER_NAME_CRCN||X(50)|3228,50| |
|CL_RETURN_SECURITY_CLEARER_CODE_CRSC||X(10)|3278,10|Counterparty Clearer details for Security on the Return leg of a Term Repo. |
|CL_RETURN_SECURITY_CLEARER_SWIFT_BIC_CRSB||X(25)|3288,25| |
|CL_RETURN_SECURITY_CLEARER_ACCOUNT_NUMBER_CRSA||X(25)|3313,25| |
|CL_RETURN_SECURITY_CLEARER_SUB_ACCOUNT_CRSS||X(25)|3338,25| |
|CL_RETURN_SECURITY_CLEARER_ACCOUNT_REFERENCE_CRSR||X(50)|3363,50| |
|CL_RETURN_SECURITY_CLEARER_CONTACT_CRSO||X(30)|3413,30| |
|CL_RETURN_SECURITY_CLEARER_NAME_CRSN||X(50)|3443,50| |
|ROLL_ACCRUAL_INTEREST_RAIN||X(1)|3493,1|Set to ‘Y’ to add the accrued interest into the start value of the new trade or ‘N’ to pay or receive the interest. mandatory for Rollover items. |
|CREST_PRIORITY_CRPI||9(2)|3494,2|Range from 0 to 90. |
|CREST_SYSTEM_OF_ORIGIN_CRSY||X(1)|3496,1|Valid codes are S-Stock Exchange, TTradepoint, I-Irish Stock Exchange, LLIFFE or O-Off Exchange. |
|CREST_NC_CONDITION_CRNC||X(1)|3497,1|Set to ‘Y’ if trade is to never settle in CREST, otherwise set to ‘N’. |
|CREST_CASH_MOVEMENT_TYPE_CRMV||X(1)|3498,1|Valid codes are A-Standard Payment, C-Commission payment or O-Other payment to third party. |
|CREST_AGENT_INDICATOR_CRAG||X(1)|3499,1|Valid codes are A-Agent As SRO Member Firm, P-Principal Purchase as SRO Member, S-Principal Sale as SRO Member or N-Not SRO Member Firm. |
|CREST_DBV_MARGIN_CRDM||9(4)v99|3500,6|This should be set to the DBV Margin percentage where the Consideration differs from the DBV value sought. Required for collateral items only. |
